setting ^dummy=dummy
setting ^_ignored=[]
I0611 12:35:04.855336 139897657034560 tpu_client.py:54] Starting the local TPU driver.
I0611 12:35:04.862223 139897657034560 xla_bridge.py:212] Unable to initialize backend 'tpu_driver': Not found: Unable to find driver in registry given worker: local://
I0611 12:35:04.862595 139897657034560 xla_bridge.py:212] Unable to initialize backend 'gpu': Not found: Could not find registered platform with name: "cuda". Available platform names are: Interpreter Host
I0611 12:35:04.866255 139897657034560 xla_bridge.py:212] Unable to initialize backend 'tpu': Invalid argument: TpuPlatform is not available.
W0611 12:35:04.866482 139897657034560 xla_bridge.py:215] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
I0611 12:35:07.143729 139897657034560 terminal_logging.py:55] episode = 1 | episode_len = 9 | episode_return = -1.0000 | steps = 9 | total_regret = 2.0000 | total_return = -1.0000
I0611 12:35:08.337353 139897657034560 terminal_logging.py:55] episode = 18 | episode_len = 9 | episode_return = -1.0000 | steps = 162 | total_regret = 32.0000 | total_return = -14.0000
I0611 12:35:08.337353 139897657034560 terminal_logging.py:55] episode = 18 | episode_len = 9 | episode_return = -1.0000 | steps = 162 | total_regret = 32.0000 | total_return = -14.0000
I0611 12:35:08.381395 139897657034560 terminal_logging.py:55] episode = 19 | episode_len = 9 | episode_return = 1.0000 | steps = 171 | total_regret = 32.0000 | total_return = -13.0000
I0611 12:35:08.381395 139897657034560 terminal_logging.py:55] episode = 19 | episode_len = 9 | episode_return = 1.0000 | steps = 171 | total_regret = 32.0000 | total_return = -13.0000
I0611 12:35:08.417394 139897657034560 terminal_logging.py:55] episode = 20 | episode_len = 9 | episode_return = -1.0000 | steps = 180 | total_regret = 34.0000 | total_return = -14.0000
I0611 12:35:08.417394 139897657034560 terminal_logging.py:55] episode = 20 | episode_len = 9 | episode_return = -1.0000 | steps = 180 | total_regret = 34.0000 | total_return = -14.0000
I0611 12:35:08.462270 139897657034560 terminal_logging.py:55] episode = 21 | episode_len = 9 | episode_return = -1.0000 | steps = 189 | total_regret = 36.0000 | total_return = -15.0000
I0611 12:35:08.462270 139897657034560 terminal_logging.py:55] episode = 21 | episode_len = 9 | episode_return = -1.0000 | steps = 189 | total_regret = 36.0000 | total_return = -15.0000
I0611 12:35:08.512297 139897657034560 terminal_logging.py:55] episode = 22 | episode_len = 9 | episode_return = -1.0000 | steps = 198 | total_regret = 38.0000 | total_return = -16.0000
I0611 12:35:08.512297 139897657034560 terminal_logging.py:55] episode = 22 | episode_len = 9 | episode_return = -1.0000 | steps = 198 | total_regret = 38.0000 | total_return = -16.0000
I0611 12:35:08.560933 139897657034560 terminal_logging.py:55] episode = 23 | episode_len = 9 | episode_return = -1.0000 | steps = 207 | total_regret = 40.0000 | total_return = -17.0000
I0611 12:35:08.560933 139897657034560 terminal_logging.py:55] episode = 23 | episode_len = 9 | episode_return = -1.0000 | steps = 207 | total_regret = 40.0000 | total_return = -17.0000
I0611 12:35:08.603074 139897657034560 terminal_logging.py:55] episode = 24 | episode_len = 9 | episode_return = -1.0000 | steps = 216 | total_regret = 42.0000 | total_return = -18.0000
I0611 12:35:08.603074 139897657034560 terminal_logging.py:55] episode = 24 | episode_len = 9 | episode_return = -1.0000 | steps = 216 | total_regret = 42.0000 | total_return = -18.0000
I0611 12:35:08.638801 139897657034560 terminal_logging.py:55] episode = 25 | episode_len = 9 | episode_return = -1.0000 | steps = 225 | total_regret = 44.0000 | total_return = -19.0000
I0611 12:35:08.638801 139897657034560 terminal_logging.py:55] episode = 25 | episode_len = 9 | episode_return = -1.0000 | steps = 225 | total_regret = 44.0000 | total_return = -19.0000
I0611 12:35:08.681443 139897657034560 terminal_logging.py:55] episode = 26 | episode_len = 9 | episode_return = -1.0000 | steps = 234 | total_regret = 46.0000 | total_return = -20.0000
I0611 12:35:08.681443 139897657034560 terminal_logging.py:55] episode = 26 | episode_len = 9 | episode_return = -1.0000 | steps = 234 | total_regret = 46.0000 | total_return = -20.0000
I0611 12:35:08.732280 139897657034560 terminal_logging.py:55] episode = 27 | episode_len = 9 | episode_return = -1.0000 | steps = 243 | total_regret = 48.0000 | total_return = -21.0000
I0611 12:35:08.732280 139897657034560 terminal_logging.py:55] episode = 27 | episode_len = 9 | episode_return = -1.0000 | steps = 243 | total_regret = 48.0000 | total_return = -21.0000
I0611 12:35:08.776855 139897657034560 terminal_logging.py:55] episode = 28 | episode_len = 9 | episode_return = -1.0000 | steps = 252 | total_regret = 50.0000 | total_return = -22.0000
I0611 12:35:08.776855 139897657034560 terminal_logging.py:55] episode = 28 | episode_len = 9 | episode_return = -1.0000 | steps = 252 | total_regret = 50.0000 | total_return = -22.0000
I0611 12:35:08.850117 139897657034560 terminal_logging.py:55] episode = 29 | episode_len = 9 | episode_return = -1.0000 | steps = 261 | total_regret = 52.0000 | total_return = -23.0000
I0611 12:35:08.850117 139897657034560 terminal_logging.py:55] episode = 29 | episode_len = 9 | episode_return = -1.0000 | steps = 261 | total_regret = 52.0000 | total_return = -23.0000
I0611 12:35:08.913654 139897657034560 terminal_logging.py:55] episode = 30 | episode_len = 9 | episode_return = -1.0000 | steps = 270 | total_regret = 54.0000 | total_return = -24.0000
I0611 12:35:08.913654 139897657034560 terminal_logging.py:55] episode = 30 | episode_len = 9 | episode_return = -1.0000 | steps = 270 | total_regret = 54.0000 | total_return = -24.0000
I0611 12:35:08.962857 139897657034560 terminal_logging.py:55] episode = 31 | episode_len = 9 | episode_return = 1.0000 | steps = 279 | total_regret = 54.0000 | total_return = -23.0000
I0611 12:35:08.962857 139897657034560 terminal_logging.py:55] episode = 31 | episode_len = 9 | episode_return = 1.0000 | steps = 279 | total_regret = 54.0000 | total_return = -23.0000
I0611 12:35:09.001684 139897657034560 terminal_logging.py:55] episode = 32 | episode_len = 9 | episode_return = -1.0000 | steps = 288 | total_regret = 56.0000 | total_return = -24.0000
I0611 12:35:09.001684 139897657034560 terminal_logging.py:55] episode = 32 | episode_len = 9 | episode_return = -1.0000 | steps = 288 | total_regret = 56.0000 | total_return = -24.0000
I0611 12:35:09.042595 139897657034560 terminal_logging.py:55] episode = 33 | episode_len = 9 | episode_return = -1.0000 | steps = 297 | total_regret = 58.0000 | total_return = -25.0000
I0611 12:35:09.042595 139897657034560 terminal_logging.py:55] episode = 33 | episode_len = 9 | episode_return = -1.0000 | steps = 297 | total_regret = 58.0000 | total_return = -25.0000
I0611 12:35:09.077558 139897657034560 terminal_logging.py:55] episode = 34 | episode_len = 9 | episode_return = -1.0000 | steps = 306 | total_regret = 60.0000 | total_return = -26.0000
I0611 12:35:09.077558 139897657034560 terminal_logging.py:55] episode = 34 | episode_len = 9 | episode_return = -1.0000 | steps = 306 | total_regret = 60.0000 | total_return = -26.0000
I0611 12:35:09.112371 139897657034560 terminal_logging.py:55] episode = 35 | episode_len = 9 | episode_return = -1.0000 | steps = 315 | total_regret = 62.0000 | total_return = -27.0000
I0611 12:35:09.112371 139897657034560 terminal_logging.py:55] episode = 35 | episode_len = 9 | episode_return = -1.0000 | steps = 315 | total_regret = 62.0000 | total_return = -27.0000
I0611 12:35:09.143276 139897657034560 terminal_logging.py:55] episode = 36 | episode_len = 9 | episode_return = -1.0000 | steps = 324 | total_regret = 64.0000 | total_return = -28.0000
I0611 12:35:09.143276 139897657034560 terminal_logging.py:55] episode = 36 | episode_len = 9 | episode_return = -1.0000 | steps = 324 | total_regret = 64.0000 | total_return = -28.0000
I0611 12:35:09.172342 139897657034560 terminal_logging.py:55] episode = 37 | episode_len = 9 | episode_return = -1.0000 | steps = 333 | total_regret = 66.0000 | total_return = -29.0000
I0611 12:35:09.172342 139897657034560 terminal_logging.py:55] episode = 37 | episode_len = 9 | episode_return = -1.0000 | steps = 333 | total_regret = 66.0000 | total_return = -29.0000
I0611 12:35:09.197934 139897657034560 terminal_logging.py:55] episode = 38 | episode_len = 9 | episode_return = -1.0000 | steps = 342 | total_regret = 68.0000 | total_return = -30.0000
I0611 12:35:09.197934 139897657034560 terminal_logging.py:55] episode = 38 | episode_len = 9 | episode_return = -1.0000 | steps = 342 | total_regret = 68.0000 | total_return = -30.0000
I0611 12:35:09.223253 139897657034560 terminal_logging.py:55] episode = 39 | episode_len = 9 | episode_return = -1.0000 | steps = 351 | total_regret = 70.0000 | total_return = -31.0000
I0611 12:35:09.223253 139897657034560 terminal_logging.py:55] episode = 39 | episode_len = 9 | episode_return = -1.0000 | steps = 351 | total_regret = 70.0000 | total_return = -31.0000
I0611 12:35:09.249394 139897657034560 terminal_logging.py:55] episode = 40 | episode_len = 9 | episode_return = -1.0000 | steps = 360 | total_regret = 72.0000 | total_return = -32.0000
I0611 12:35:09.249394 139897657034560 terminal_logging.py:55] episode = 40 | episode_len = 9 | episode_return = -1.0000 | steps = 360 | total_regret = 72.0000 | total_return = -32.0000
I0611 12:35:09.281309 139897657034560 terminal_logging.py:55] episode = 41 | episode_len = 9 | episode_return = -1.0000 | steps = 369 | total_regret = 74.0000 | total_return = -33.0000
I0611 12:35:09.281309 139897657034560 terminal_logging.py:55] episode = 41 | episode_len = 9 | episode_return = -1.0000 | steps = 369 | total_regret = 74.0000 | total_return = -33.0000
I0611 12:35:09.308810 139897657034560 terminal_logging.py:55] episode = 42 | episode_len = 9 | episode_return = 1.0000 | steps = 378 | total_regret = 74.0000 | total_return = -32.0000
I0611 12:35:09.308810 139897657034560 terminal_logging.py:55] episode = 42 | episode_len = 9 | episode_return = 1.0000 | steps = 378 | total_regret = 74.0000 | total_return = -32.0000
I0611 12:35:09.334337 139897657034560 terminal_logging.py:55] episode = 43 | episode_len = 9 | episode_return = 1.0000 | steps = 387 | total_regret = 74.0000 | total_return = -31.0000
I0611 12:35:09.334337 139897657034560 terminal_logging.py:55] episode = 43 | episode_len = 9 | episode_return = 1.0000 | steps = 387 | total_regret = 74.0000 | total_return = -31.0000
I0611 12:35:09.361863 139897657034560 terminal_logging.py:55] episode = 44 | episode_len = 9 | episode_return = 1.0000 | steps = 396 | total_regret = 74.0000 | total_return = -30.0000
I0611 12:35:09.361863 139897657034560 terminal_logging.py:55] episode = 44 | episode_len = 9 | episode_return = 1.0000 | steps = 396 | total_regret = 74.0000 | total_return = -30.0000
I0611 12:35:09.387876 139897657034560 terminal_logging.py:55] episode = 45 | episode_len = 9 | episode_return = 1.0000 | steps = 405 | total_regret = 74.0000 | total_return = -29.0000
I0611 12:35:09.387876 139897657034560 terminal_logging.py:55] episode = 45 | episode_len = 9 | episode_return = 1.0000 | steps = 405 | total_regret = 74.0000 | total_return = -29.0000
I0611 12:35:09.435497 139897657034560 terminal_logging.py:55] episode = 46 | episode_len = 9 | episode_return = -1.0000 | steps = 414 | total_regret = 76.0000 | total_return = -30.0000
I0611 12:35:09.435497 139897657034560 terminal_logging.py:55] episode = 46 | episode_len = 9 | episode_return = -1.0000 | steps = 414 | total_regret = 76.0000 | total_return = -30.0000
I0611 12:35:09.463039 139897657034560 terminal_logging.py:55] episode = 47 | episode_len = 9 | episode_return = 1.0000 | steps = 423 | total_regret = 76.0000 | total_return = -29.0000
I0611 12:35:09.463039 139897657034560 terminal_logging.py:55] episode = 47 | episode_len = 9 | episode_return = 1.0000 | steps = 423 | total_regret = 76.0000 | total_return = -29.0000
I0611 12:35:09.489071 139897657034560 terminal_logging.py:55] episode = 48 | episode_len = 9 | episode_return = 1.0000 | steps = 432 | total_regret = 76.0000 | total_return = -28.0000
I0611 12:35:09.489071 139897657034560 terminal_logging.py:55] episode = 48 | episode_len = 9 | episode_return = 1.0000 | steps = 432 | total_regret = 76.0000 | total_return = -28.0000
I0611 12:35:09.514227 139897657034560 terminal_logging.py:55] episode = 49 | episode_len = 9 | episode_return = -1.0000 | steps = 441 | total_regret = 78.0000 | total_return = -29.0000
I0611 12:35:09.514227 139897657034560 terminal_logging.py:55] episode = 49 | episode_len = 9 | episode_return = -1.0000 | steps = 441 | total_regret = 78.0000 | total_return = -29.0000
I0611 12:35:09.542778 139897657034560 terminal_logging.py:55] episode = 50 | episode_len = 9 | episode_return = 1.0000 | steps = 450 | total_regret = 78.0000 | total_return = -28.0000
I0611 12:35:09.542778 139897657034560 terminal_logging.py:55] episode = 50 | episode_len = 9 | episode_return = 1.0000 | steps = 450 | total_regret = 78.0000 | total_return = -28.0000
I0611 12:35:09.570298 139897657034560 terminal_logging.py:55] episode = 51 | episode_len = 9 | episode_return = 1.0000 | steps = 459 | total_regret = 78.0000 | total_return = -27.0000
I0611 12:35:09.570298 139897657034560 terminal_logging.py:55] episode = 51 | episode_len = 9 | episode_return = 1.0000 | steps = 459 | total_regret = 78.0000 | total_return = -27.0000
I0611 12:35:09.595124 139897657034560 terminal_logging.py:55] episode = 52 | episode_len = 9 | episode_return = -1.0000 | steps = 468 | total_regret = 80.0000 | total_return = -28.0000
I0611 12:35:09.595124 139897657034560 terminal_logging.py:55] episode = 52 | episode_len = 9 | episode_return = -1.0000 | steps = 468 | total_regret = 80.0000 | total_return = -28.0000
I0611 12:35:09.621459 139897657034560 terminal_logging.py:55] episode = 53 | episode_len = 9 | episode_return = -1.0000 | steps = 477 | total_regret = 82.0000 | total_return = -29.0000
I0611 12:35:09.621459 139897657034560 terminal_logging.py:55] episode = 53 | episode_len = 9 | episode_return = -1.0000 | steps = 477 | total_regret = 82.0000 | total_return = -29.0000
I0611 12:35:09.647183 139897657034560 terminal_logging.py:55] episode = 54 | episode_len = 9 | episode_return = -1.0000 | steps = 486 | total_regret = 84.0000 | total_return = -30.0000
I0611 12:35:09.647183 139897657034560 terminal_logging.py:55] episode = 54 | episode_len = 9 | episode_return = -1.0000 | steps = 486 | total_regret = 84.0000 | total_return = -30.0000
I0611 12:35:09.672590 139897657034560 terminal_logging.py:55] episode = 55 | episode_len = 9 | episode_return = 1.0000 | steps = 495 | total_regret = 84.0000 | total_return = -29.0000
I0611 12:35:09.672590 139897657034560 terminal_logging.py:55] episode = 55 | episode_len = 9 | episode_return = 1.0000 | steps = 495 | total_regret = 84.0000 | total_return = -29.0000
I0611 12:35:09.697574 139897657034560 terminal_logging.py:55] episode = 56 | episode_len = 9 | episode_return = -1.0000 | steps = 504 | total_regret = 86.0000 | total_return = -30.0000
I0611 12:35:09.697574 139897657034560 terminal_logging.py:55] episode = 56 | episode_len = 9 | episode_return = -1.0000 | steps = 504 | total_regret = 86.0000 | total_return = -30.0000
I0611 12:35:09.722663 139897657034560 terminal_logging.py:55] episode = 57 | episode_len = 9 | episode_return = 1.0000 | steps = 513 | total_regret = 86.0000 | total_return = -29.0000
I0611 12:35:09.722663 139897657034560 terminal_logging.py:55] episode = 57 | episode_len = 9 | episode_return = 1.0000 | steps = 513 | total_regret = 86.0000 | total_return = -29.0000
I0611 12:35:09.747643 139897657034560 terminal_logging.py:55] episode = 58 | episode_len = 9 | episode_return = -1.0000 | steps = 522 | total_regret = 88.0000 | total_return = -30.0000
I0611 12:35:09.747643 139897657034560 terminal_logging.py:55] episode = 58 | episode_len = 9 | episode_return = -1.0000 | steps = 522 | total_regret = 88.0000 | total_return = -30.0000
I0611 12:35:09.773787 139897657034560 terminal_logging.py:55] episode = 59 | episode_len = 9 | episode_return = -1.0000 | steps = 531 | total_regret = 90.0000 | total_return = -31.0000
I0611 12:35:09.773787 139897657034560 terminal_logging.py:55] episode = 59 | episode_len = 9 | episode_return = -1.0000 | steps = 531 | total_regret = 90.0000 | total_return = -31.0000
I0611 12:35:09.799364 139897657034560 terminal_logging.py:55] episode = 60 | episode_len = 9 | episode_return = 1.0000 | steps = 540 | total_regret = 90.0000 | total_return = -30.0000
I0611 12:35:09.799364 139897657034560 terminal_logging.py:55] episode = 60 | episode_len = 9 | episode_return = 1.0000 | steps = 540 | total_regret = 90.0000 | total_return = -30.0000
I0611 12:35:09.829707 139897657034560 terminal_logging.py:55] episode = 61 | episode_len = 9 | episode_return = 1.0000 | steps = 549 | total_regret = 90.0000 | total_return = -29.0000
I0611 12:35:09.829707 139897657034560 terminal_logging.py:55] episode = 61 | episode_len = 9 | episode_return = 1.0000 | steps = 549 | total_regret = 90.0000 | total_return = -29.0000
I0611 12:35:09.857784 139897657034560 terminal_logging.py:55] episode = 62 | episode_len = 9 | episode_return = 1.0000 | steps = 558 | total_regret = 90.0000 | total_return = -28.0000
I0611 12:35:09.857784 139897657034560 terminal_logging.py:55] episode = 62 | episode_len = 9 | episode_return = 1.0000 | steps = 558 | total_regret = 90.0000 | total_return = -28.0000
I0611 12:35:09.886443 139897657034560 terminal_logging.py:55] episode = 63 | episode_len = 9 | episode_return = -1.0000 | steps = 567 | total_regret = 92.0000 | total_return = -29.0000
I0611 12:35:09.886443 139897657034560 terminal_logging.py:55] episode = 63 | episode_len = 9 | episode_return = -1.0000 | steps = 567 | total_regret = 92.0000 | total_return = -29.0000
I0611 12:35:09.915887 139897657034560 terminal_logging.py:55] episode = 64 | episode_len = 9 | episode_return = -1.0000 | steps = 576 | total_regret = 94.0000 | total_return = -30.0000
I0611 12:35:09.915887 139897657034560 terminal_logging.py:55] episode = 64 | episode_len = 9 | episode_return = -1.0000 | steps = 576 | total_regret = 94.0000 | total_return = -30.0000
I0611 12:35:09.970570 139897657034560 terminal_logging.py:55] episode = 65 | episode_len = 9 | episode_return = 1.0000 | steps = 585 | total_regret = 94.0000 | total_return = -29.0000
I0611 12:35:09.970570 139897657034560 terminal_logging.py:55] episode = 65 | episode_len = 9 | episode_return = 1.0000 | steps = 585 | total_regret = 94.0000 | total_return = -29.0000
I0611 12:35:09.999160 139897657034560 terminal_logging.py:55] episode = 66 | episode_len = 9 | episode_return = 1.0000 | steps = 594 | total_regret = 94.0000 | total_return = -28.0000
I0611 12:35:09.999160 139897657034560 terminal_logging.py:55] episode = 66 | episode_len = 9 | episode_return = 1.0000 | steps = 594 | total_regret = 94.0000 | total_return = -28.0000
I0611 12:35:10.031025 139897657034560 terminal_logging.py:55] episode = 67 | episode_len = 9 | episode_return = 1.0000 | steps = 603 | total_regret = 94.0000 | total_return = -27.0000
I0611 12:35:10.031025 139897657034560 terminal_logging.py:55] episode = 67 | episode_len = 9 | episode_return = 1.0000 | steps = 603 | total_regret = 94.0000 | total_return = -27.0000
I0611 12:35:10.060993 139897657034560 terminal_logging.py:55] episode = 68 | episode_len = 9 | episode_return = -1.0000 | steps = 612 | total_regret = 96.0000 | total_return = -28.0000
I0611 12:35:10.060993 139897657034560 terminal_logging.py:55] episode = 68 | episode_len = 9 | episode_return = -1.0000 | steps = 612 | total_regret = 96.0000 | total_return = -28.0000
I0611 12:35:10.090501 139897657034560 terminal_logging.py:55] episode = 69 | episode_len = 9 | episode_return = -1.0000 | steps = 621 | total_regret = 98.0000 | total_return = -29.0000
I0611 12:35:10.090501 139897657034560 terminal_logging.py:55] episode = 69 | episode_len = 9 | episode_return = -1.0000 | steps = 621 | total_regret = 98.0000 | total_return = -29.0000
I0611 12:35:10.120793 139897657034560 terminal_logging.py:55] episode = 70 | episode_len = 9 | episode_return = 1.0000 | steps = 630 | total_regret = 98.0000 | total_return = -28.0000
I0611 12:35:10.120793 139897657034560 terminal_logging.py:55] episode = 70 | episode_len = 9 | episode_return = 1.0000 | steps = 630 | total_regret = 98.0000 | total_return = -28.0000
I0611 12:35:10.154440 139897657034560 terminal_logging.py:55] episode = 71 | episode_len = 9 | episode_return = -1.0000 | steps = 639 | total_regret = 100.0000 | total_return = -29.0000
I0611 12:35:10.154440 139897657034560 terminal_logging.py:55] episode = 71 | episode_len = 9 | episode_return = -1.0000 | steps = 639 | total_regret = 100.0000 | total_return = -29.0000
I0611 12:35:10.182288 139897657034560 terminal_logging.py:55] episode = 72 | episode_len = 9 | episode_return = -1.0000 | steps = 648 | total_regret = 102.0000 | total_return = -30.0000
I0611 12:35:10.182288 139897657034560 terminal_logging.py:55] episode = 72 | episode_len = 9 | episode_return = -1.0000 | steps = 648 | total_regret = 102.0000 | total_return = -30.0000
I0611 12:35:10.210537 139897657034560 terminal_logging.py:55] episode = 73 | episode_len = 9 | episode_return = -1.0000 | steps = 657 | total_regret = 104.0000 | total_return = -31.0000
I0611 12:35:10.210537 139897657034560 terminal_logging.py:55] episode = 73 | episode_len = 9 | episode_return = -1.0000 | steps = 657 | total_regret = 104.0000 | total_return = -31.0000
I0611 12:35:10.239965 139897657034560 terminal_logging.py:55] episode = 74 | episode_len = 9 | episode_return = 1.0000 | steps = 666 | total_regret = 104.0000 | total_return = -30.0000
I0611 12:35:10.239965 139897657034560 terminal_logging.py:55] episode = 74 | episode_len = 9 | episode_return = 1.0000 | steps = 666 | total_regret = 104.0000 | total_return = -30.0000
I0611 12:35:10.284330 139897657034560 terminal_logging.py:55] episode = 75 | episode_len = 9 | episode_return = -1.0000 | steps = 675 | total_regret = 106.0000 | total_return = -31.0000
I0611 12:35:10.284330 139897657034560 terminal_logging.py:55] episode = 75 | episode_len = 9 | episode_return = -1.0000 | steps = 675 | total_regret = 106.0000 | total_return = -31.0000
I0611 12:35:10.323706 139897657034560 terminal_logging.py:55] episode = 76 | episode_len = 9 | episode_return = 1.0000 | steps = 684 | total_regret = 106.0000 | total_return = -30.0000
